name,latitude,longitude,color
Amundava [adw],-10.9942,-63.0642,#A26DA7
Amurdak [amg],-12.022,132.892,#D4BA85
Amuzgo [amu],16.83,-98,#8667AB
Amuzgo_Huixtepec [amu-2],16.5,-98.1,#835CAD
Amuzgo_San Pedro [azg],16.85,-98,#80848F
Amuzgo_Xochistlahuaca [amu],16.79,-98.24,#7F6790
Amwi [aml],25.209,92.068,#5F8871
Anaguta [nar],9.964,8.731,#6A9656
Anakalang [akg],-9.67,119.67,#908C5E
Anal [anm],24.33,93.99,#53AD74
Anamuxra [imi],-4.667,145,#A06A9A
Andalusian [spa-3],37.5,-3.6,#7B615E
Andi [ani],42.79,46.27,#54667E
Andi_Tad-Magitil [ani-2],42.75,46.25,#416182
Andoa [anb],-2.9,-76.4051,#8D6A94
Andoké [ano],0,-72,#7F496F
Anejom [aty],-20.25,169.833,#78A08D
Anem [anz],-5.667,149,#939F6B
Aneme Wake [aby],-9.733,148.52,#9E4687
Angaatiha [agm],-7.22,146.25,#A98FA8
Angal [age],-6,143.6,#93879E
Angal Heneng [akh],-6.13,143.42,#9481A1
Angami [njm],25.667,94.5,#42B46A
Angas [anc],9.75,8.75,#499545
Anggor [agg],-3.667,141.167,#8F7C6D
Anggreso [kwe-2],-2.17,138.25,#B75A8E
Angkamuthi [avm],-11.5,142.25,#BFA370
Angkola Batak [akb],1.518,99.531,#9B9864
Anguthimri [xxx-3],-12.333,141.833,#A8AF7C
Ani Phowa [ypn],23.6,103.3,#1AAB91
Anii [blo],9.003,1.669,#62A466
Anindilyagwa [aoi],-14,136.5,#C5CF7E
Aniwa [fut],-19.256,169.6,#A5777F
Anjam [boj],-5.441,145.737,#9F926D
Ankave [aak],-7.137,145.744,#B67F98
Anmatyerr_East [amx],-22.256,131.5,#CAC586
Anmatyerr_West [amx-2],-21,135,#D0B28A
Anong [nun],27.2,98.8,#18CE95
Ansus [and],-1.708,135.806,#AC5375
Anuak [anu],7.18,34.097,#9F9D67
Anufo [cko],10.218,0.33,#7D8859
Anuta [aud],-11.611,169.85,#B17C85
Anyin [any],5.9,-2.9,#7C585E
Anywa [anu],7.3,33,#ADB464
Ao [njo],27,95,#81AD9A
Aore [aor],-15.577,167.181,#A6827C
Apache_Western [apw],33.9,-109.55,#405BAE
Apalachee [xap],30.04,-84.17,#8E6A93
Apalai [apy],0,-54,#934CAE
Apali [ena],-5.088,145.017,#897376
Apatani [apt],27.4,93.8,#7A966D
Apiaká [api],-7.9484,-57.7365,#A386B3
Apinaye [apn],-6.25,-48,#9C7F7C
Apurinã [apu],-9,-67,#8E47A4
Aputai [apx],-7.888,126.505,#9B7382
