name,latitude,longitude,color
Bikol [bcl],13.333,123.5,#CB7F70
Biloxi [bll],32.25,-90,#6137EC
Bilua [blb],-7.75,156.667,#984B5F
Binandere [bhg],-8.167,147.917,#50AAAF
Bininj Gun-Wok [gup],-12.5,133.75,#922771
Biri [bzr],-20.5,146.5,#3DA861
Blackfoot [bla],50,-112.67,#861494
Blang [blr],23.3,100,#E4C29A
Bobongko [bgb],-0.5,121.75,#DB847D
Bokar [adi-2],29,94.35,#56C89F
Bontok [bnc],17.083,120.917,#C77E3D
Bouyei_west [pcc-2],25.75,107.333,#E7D39A
Brag-g.yab [khg-2],30.65,97.55,#2EB596
Brahui [brh],29,67,#3B8469
Brao [brb],14,107,#F7F692
Breton [bre],48,-3.5,#93580F
Bribri [bzd],9.5,-83,#8EABA9
Brokpa [sgt],27.33,92,#339AB5
Bugan [bbh],23.75,105,#D8B696
Bugis [bug],-4,120,#DD7E57
Bugun [bgn],27.3,92.35,#40B19D
Buin [buo],-6.75,155.833,#483E8B
Bukiyip_Arapesh [ape],-3.667,142.5,#B56382
Bularnu [yil],-21.5,137.5,#3ABF5E
Bulgarian [bul],43,25,#6B8F13
Bumbita_Arapesh [aon],-3.667,142.833,#C15D9F
Bumthang [kjz],27.8,90.8,#3FBBB2
Bumthang_Ura [kjz-2],27.48,90.905,#3BACBB
Bunan [bfu],32.61,76.91,#35888D
Bunaq [bfn],-9.1,125.15,#B96ED3
Bunun [bnn],23.5,121,#DD7868
Burarra [bvr],-12.25,134.667,#7B4495
Burmese [mya],20,96,#64B5AC
Burmese_Myeik [mya-2],12.43,98.6,#60CC89
Buru [mhs],-3.5,126.5,#D5B5AD
Burushaski [bsk],36.5,74.5,#254F64
Buryat [bxm],52,108,#0F8460
Buyang [yha],24,104.8,#E1CE9D
Buyuan Jino [jiy],22.05,101,#7DDBB8
Byansi [bee],30.17,80.5,#329A79
Caddo [cad],33.33,-93.5,#5B24B8
Cahuilla [chl],33.75,-117.75,#454271
Cakchiquel [ckf],14.5,-91,#9F4D39
Camling [rab],27.3,86.8,#2F4DAF
Campa [cni],-12,-74,#83596F
Canela-Krahô [ram],-6.5,-45,#A17DA6
Cantonese [yue],22.333,114,#A8D181
